Detail,Facility,Current Rating,Last Inspection Date,City,Address
FoodInspectDetail.aspx?id=FA0006763,Country Waffles #928,Good,11/14/2024,Merced,1794 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0005643,Courtyard by Marriott,Good,3/21/2024,Merced,750 Motel Dr.
FoodInspectDetail.aspx?id=FA0007099,Courtyard Mimosa DBA Cosmos Bar and Grill #2,Satisfactory,2/17/2026,Los Banos,245 W. Pacheco Blvd Ste. A & B
FoodInspectDetail.aspx?id=FA0005716,Cousins Corner,Good,8/1/2025,Merced,260 W. 18th St.
FoodInspectDetail.aspx?id=FA0007441,Creekside Junior High,Good,5/14/2026,Los Banos,1401 Prairie Springs Road
FoodInspectDetail.aspx?id=FA0009607,Cressey School,Good,5/5/2026,Cressey,9921 Crocker St
FoodInspectDetail.aspx?id=FA0006030,Cressey Store,Satisfactory,1/4/2023,Cressey,9074 N. Santa Fe Dr.
FoodInspectDetail.aspx?id=FA0004139,Cruickshank Middle School,Good,5/15/2026,Merced,601 Mercy Dr.
FoodInspectDetail.aspx?id=FA0007739,Crumbl Cookies,Satisfactory,8/28/2024,Los Banos,1363 W. Pacheco Blvd Ste B
FoodInspectDetail.aspx?id=FA0003392,Cuevas Distributing,Satisfactory,3/27/2024,Atwater,3500 Atwater Blvd
FoodInspectDetail.aspx?id=FA0001148,Cutija Taco Shop,Satisfactory,9/11/2024,Los Banos,5 W. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0004728,CVOC (Food Site),Good,6/22/2023,Winton,6838 Bridget Ct.
